    29.90  31.25    0    6  0.00000E+00  0.51042E+07 5124
    29.50  31.05    0    9  0.00000E+00  0.48611E+07 5125
    30.20  31.55    0    9  0.00000E+00  0.48611E+07 5126
    30.70  31.55    0    2  0.00000E+00  0.57750E+07 5127
    31.10  31.65    0    9  0.00000E+00  0.48611E+07 5128
    30.90  31.65    0   17  0.00000E+00  0.47610E+07 5129
    30.80  31.55    0   23  0.00000E+00  0.47554E+07 5130
    31.40  31.55    0   19  0.00000E+00  0.46053E+07 5131
    31.60  31.55    0    1  0.00000E+00  0.65625E+07 5132
    32.00  31.45    0    4  0.00000E+00  0.43750E+07 5133
    32.00  31.45    0   19  0.00000E+00  0.46053E+07 5134
    32.00  31.45    0    2  0.00000E+00  0.56875E+07 5135
    32.00  31.45    0    2  0.00000E+00  0.45938E+07 5136
    32.00  31.45    0    3  0.00000E+00  0.39375E+07 5137
    32.00  31.45    0    1  0.00000E+00  0.70000E+07 5138
    32.00  31.45    0    2  0.00000E+00  0.43750E+07 5139
    32.00  31.45    0   28  0.00000E+00  0.46875E+07 5140
    28.50  31.15    1   10  0.92400E+07  0.46200E+07 5141
    30.50  31.55    1    8  0.79800E+07  0.49875E+07 5142
    27.30  31.45    0   46  0.00000E+00  0.47554E+07 5143
    32.40  31.25    0   34  0.00000E+00  0.47610E+07 5144
    30.30  31.45    0   19  0.00000E+00  0.46053E+07 5147
    31.40  31.55    2   13  0.59463E+07  0.45740E+07 5148
    9.60  42.45    0    3  0.00000E+00  0.39375E+07 5152
    3.10  42.65    0    1  0.00000E+00  0.47250E+07 5153
    8.60  42.05    0    1  0.00000E+00  0.70000E+07 5154
    9.60  42.45    0    2  0.00000E+00  0.52500E+07 5155
    3.10  42.65    0    1  0.00000E+00  0.58538E+07 5158
    3.10  42.85    0    2  0.00000E+00  0.41016E+07 5164
    9.00  42.65    0    5  0.00000E+00  0.45938E+07 5166
    3.60  43.35    0    7  0.00000E+00  0.48125E+07 5167
    3.60  43.35    0    3  0.00000E+00  0.45354E+07 5168
    8.80  41.65    0    1  0.00000E+00  0.59719E+07 5169
    4.00  43.45    0    6  0.00000E+00  0.43385E+07 5170
    3.40  43.25    0    2  0.00000E+00  0.54688E+07 5171
    4.90  43.35    0    4  0.00000E+00  0.42634E+07 5172
    8.80  41.65    0    3  0.00000E+00  0.52500E+07 5178
    3.50  43.25    0   33  0.00000E+00  0.47197E+07 5183
    8.70  41.85    0   15  0.00000E+00  0.46667E+07 5184
    7.20  43.65    0   37  0.00000E+00  0.46993E+07 5185
    3.10  42.55    0   16  0.00000E+00  0.46484E+07 5186
    3.20  42.45    0    6  0.00000E+00  0.49219E+07 5187
    9.50  42.75    0   18  0.00000E+00  0.48125E+07 5188
    9.50  42.65    0   18  0.00000E+00  0.46127E+07 5189
    5.10  43.25    0    4  0.00000E+00  0.45938E+07 5190
    9.20  41.35    0    3  0.00000E+00  0.52500E+07 5191
