    6.40  43.05    5  0.27825E+05 8193
    7.20  43.65    8  0.24625E+05 8194
    8.70  42.55    3  0.26726E+05 8195
    7.00  43.55   10  0.26871E+05 8196
    5.50  43.15    2  0.30500E+05 8197
    6.50  43.15    6  0.23763E+05 8198
    5.20  43.25    2  0.22020E+05 8199
    3.10  42.55    3  0.24538E+05 8200
    6.80  43.35    9  0.26254E+05 8201
    3.80  43.45    2  0.25406E+05 8202
    3.10  43.05    5  0.24435E+05 8203
    6.20  43.05    7  0.25804E+05 8204
    5.00  43.35    4  0.25838E+05 8205
    5.60  43.15    5  0.25405E+05 8206
    4.10  43.45    6  0.24884E+05 8207
    6.30  43.05    3  0.26874E+05 8208
    4.00  43.45    2  0.24176E+05 8209
    4.00  43.45    3  0.26481E+05 8210
    3.10  42.75    6  0.25031E+05 8211
    4.10  43.45    7  0.26179E+05 8212
    3.10  42.85    5  0.23186E+05 8213
    5.20  43.25    5  0.23189E+05 8214
    5.30  43.25   17  0.25695E+05 8215
    5.00  43.35    5  0.27925E+05 8216
    7.50  43.75    6  0.24130E+05 8217
    3.20  43.15    3  0.21871E+05 8218
    7.30  43.65   12  0.26222E+05 8219
    8.70  41.85    3  0.28687E+05 8221
    3.10  43.05    3  0.26622E+05 8222
    9.40  41.55    3  0.28139E+05 8223
    8.80  41.65    2  0.29193E+05 8224
    6.70  43.25    2  0.30959E+05 8225
    5.20  43.25    2  0.22188E+05 8226
    7.50  43.75    4  0.23507E+05 8227
    6.70  43.35    3  0.27021E+05 8228
    5.00  43.35    4  0.22955E+05 8229
    6.70  43.25    5  0.23424E+05 8230
    4.40  43.35    2  0.28308E+05 8231
    6.70  43.25    4  0.27085E+05 8232
    5.70  43.15    6  0.24310E+05 8233
    9.60  42.35    2  0.26475E+05 8234
    5.10  43.25    3  0.23249E+05 8235
    3.70  43.35    7  0.24936E+05 8236
    3.10  42.65    6  0.24252E+05 8237
    5.70  43.15    3  0.29960E+05 8238
    6.80  43.35    3  0.28526E+05 8239
    4.40  43.35    2  0.32102E+05 8240
    6.00  43.05    6  0.26583E+05 8241
    5.90  43.05   10  0.26949E+05 8242
    7.10  43.55    5  0.24825E+05 8243
    3.30  43.25    3  0.24195E+05 8244
